03/08/2025, 11:12 AM
Project Statistics

                 	Segments	   Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	 2066003	15709577	               67896778	              81475580	   204	
Remaining:       	 2066003	15709577	               67896778	              81475580	   204	
Unique:          	 2044856	15622449	               67533290	              81046426	   204	
Unique Remaining:	 2044856	15622449	               67533290	              81046426	   204	


Individual File Statistics:

File Name   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
part_129.txt	         10312	             10312	          10279	                    10279	     100812	         100812	      100529	                100529	                       460586	                           460586	                        459302	                                  459302	                      550782	                          550782	                       549247	                                 549247	
part_13.txt 	         10402	             10402	          10252	                    10252	      78076	          78076	       77582	                 77582	                       369569	                           369569	                        367108	                                  367108	                      436965	                          436965	                       434161	                                 434161	
part_130.txt	         10204	             10204	          10162	                    10162	      91622	          91622	       91409	                 91409	                       430264	                           430264	                        429363	                                  429363	                      511377	                          511377	                       510305	                                 510305	
part_131.txt	         10283	             10283	          10238	                    10238	      89420	          89420	       89133	                 89133	                       420828	                           420828	                        419603	                                  419603	                      499798	                          499798	                       498331	                                 498331	
part_132.txt	         10211	             10211	          10171	                    10171	      91717	          91717	       91501	                 91501	                       428402	                           428402	                        427450	                                  427450	                      509656	                          509656	                       508528	                                 508528	
part_133.txt	         10348	             10348	          10319	                    10319	      94577	          94577	       94386	                 94386	                       433269	                           433269	                        432425	                                  432425	                      517355	                          517355	                       516349	                                 516349	
part_134.txt	         10355	             10355	          10277	                    10277	      94367	          94367	       93553	                 93553	                       412836	                           412836	                        409371	                                  409371	                      496641	                          496641	                       492441	                                 492441	
part_135.txt	         10345	             10345	          10199	                    10199	      77069	          77069	       76369	                 76369	                       357379	                           357379	                        354291	                                  354291	                      423485	                          423485	                       419847	                                 419847	
part_136.txt	         10068	             10068	          10044	                    10044	      63559	          63559	       63445	                 63445	                       297387	                           297387	                        296895	                                  296895	                      350699	                          350699	                       350115	                                 350115	
part_137.txt	         10032	             10032	          10021	                    10021	      62376	          62376	       62323	                 62323	                       287107	                           287107	                        286862	                                  286862	                      339399	                          339399	                       339112	                                 339112	
part_138.txt	         10032	             10032	          10024	                    10024	      68356	          68356	       68327	                 68327	                       306796	                           306796	                        306684	                                  306684	                      365056	                          365056	                       364921	                                 364921	
part_139.txt	         10068	             10068	          10033	                    10033	      56988	          56988	       56872	                 56872	                       277616	                           277616	                        276987	                                  276987	                      324499	                          324499	                       323789	                                 323789	
part_14.txt 	         10225	             10225	          10181	                    10181	      76595	          76595	       76371	                 76371	                       340053	                           340053	                        339063	                                  339063	                      406299	                          406299	                       405127	                                 405127	
part_140.txt	         10330	             10330	          10236	                    10236	      72260	          72260	       71809	                 71809	                       334116	                           334116	                        332034	                                  332034	                      395697	                          395697	                       393255	                                 393255	
part_141.txt	         10304	             10304	          10143	                    10143	      71149	          71149	       70418	                 70418	                       293696	                           293696	                        290704	                                  290704	                      354445	                          354445	                       350884	                                 350884	
part_142.txt	         10294	             10294	          10220	                    10220	      74072	          74072	       73745	                 73745	                       340783	                           340783	                        339354	                                  339354	                      404329	                          404329	                       402646	                                 402646	
part_143.txt	         10629	             10629	          10560	                    10560	      98131	          98131	       97746	                 97746	                       456127	                           456127	                        454412	                                  454412	                      543314	                          543314	                       541282	                                 541282	
part_144.txt	         10037	             10037	          10017	                    10017	      79459	          79459	       79333	                 79333	                       325998	                           325998	                        325499	                                  325499	                      395355	                          395355	                       394750	                                 394750	
part_145.txt	         10043	             10043	          10010	                    10010	      93768	          93768	       93577	                 93577	                       387668	                           387668	                        386855	                                  386855	                      471341	                          471341	                       470370	                                 470370	
part_146.txt	         10005	             10005	          10004	                    10004	      99379	          99379	       99374	                 99374	                       410529	                           410529	                        410506	                                  410506	                      499855	                          499855	                       499828	                                 499828	
part_147.txt	         10020	             10020	          10011	                    10011	      98844	          98844	       98784	                 98784	                       405706	                           405706	                        405468	                                  405468	                      494503	                          494503	                       494214	                                 494214	
part_148.txt	         10023	             10023	          10011	                    10011	      73339	          73339	       73270	                 73270	                       310018	                           310018	                        309786	                                  309786	                      373181	                          373181	                       372892	                                 372892	
part_149.txt	         10085	             10085	          10042	                    10042	      70710	          70710	       70485	                 70485	                       309576	                           309576	                        308676	                                  308676	                      369437	                          369437	                       368357	                                 368357	
part_15.txt 	         10095	             10095	          10061	                    10061	      70300	          70300	       70158	                 70158	                       295022	                           295022	                        294382	                                  294382	                      355143	                          355143	                       354397	                                 354397	
part_150.txt	         10070	             10070	          10029	                    10029	      74907	          74907	       74695	                 74695	                       317419	                           317419	                        316550	                                  316550	                      382198	                          382198	                       381158	                                 381158	
part_151.txt	         10077	             10077	          10021	                    10021	      75042	          75042	       74753	                 74753	                       322787	                           322787	                        321557	                                  321557	                      387100	                          387100	                       385637	                                 385637	
part_152.txt	         10035	             10035	          10014	                    10014	      71041	          71041	       70928	                 70928	                       303394	                           303394	                        302901	                                  302901	                      363326	                          363326	                       362741	                                 362741	
part_153.txt	         10038	             10038	          10026	                    10026	      71515	          71515	       71451	                 71451	                       288299	                           288299	                        288059	                                  288059	                      349668	                          349668	                       349377	                                 349377	
part_154.txt	         10068	             10068	          10013	                    10013	      70443	          70443	       70189	                 70189	                       291728	                           291728	                        290655	                                  290655	                      352052	                          352052	                       350780	                                 350780	
part_155.txt	         10043	             10043	          10008	                    10008	      63379	          63379	       63226	                 63226	                       259985	                           259985	                        259413	                                  259413	                      313183	                          313183	                       312493	                                 312493	
part_156.txt	         10034	             10034	          10004	                    10004	      65796	          65796	       65672	                 65672	                       267043	                           267043	                        266548	                                  266548	                      322754	                          322754	                       322165	                                 322165	
part_157.txt	         10037	             10037	          10008	                    10008	      68094	          68094	       67979	                 67979	                       269436	                           269436	                        268998	                                  268998	                      327442	                          327442	                       326918	                                 326918	
part_158.txt	         10026	             10026	          10010	                    10010	      70179	          70179	       70120	                 70120	                       280898	                           280898	                        280674	                                  280674	                      341012	                          341012	                       340745	                                 340745	
part_159.txt	         10200	             10200	          10079	                    10079	      64946	          64946	       64445	                 64445	                       270168	                           270168	                        268002	                                  268002	                      324751	                          324751	                       322206	                                 322206	
part_16.txt 	         10160	             10160	          10094	                    10094	      70934	          70934	       70633	                 70633	                       284417	                           284417	                        283323	                                  283323	                      345087	                          345087	                       343758	                                 343758	
part_160.txt	         10025	             10025	          10008	                    10008	      68081	          68081	       68013	                 68013	                       288180	                           288180	                        287891	                                  287891	                      346138	                          346138	                       345798	                                 345798	
part_161.txt	         10033	             10033	          10006	                    10006	      64031	          64031	       63899	                 63899	                       269759	                           269759	                        269219	                                  269219	                      323687	                          323687	                       323043	                                 323043	
part_162.txt	         10020	             10020	          10014	                    10014	      72562	          72562	       72546	                 72546	                       314458	                           314458	                        314381	                                  314381	                      376897	                          376897	                       376810	                                 376810	
part_163.txt	         10006	             10006	          10004	                    10004	      85813	          85813	       85806	                 85806	                       351686	                           351686	                        351658	                                  351658	                      427436	                          427436	                       427403	                                 427403	
part_164.txt	         10002	             10002	          10001	                    10001	      94626	          94626	       94618	                 94618	                       378832	                           378832	                        378805	                                  378805	                      463377	                          463377	                       463343	                                 463343	
part_165.txt	         10000	             10000	           9994	                     9994	      93585	          93585	       93555	                 93555	                       372479	                           372479	                        372370	                                  372370	                      455961	                          455961	                       455828	                                 455828	
part_166.txt	         10020	             10020	          10008	                    10008	      71452	          71452	       71396	                 71396	                       304979	                           304979	                        304729	                                  304729	                      366291	                          366291	                       365997	                                 365997	
part_167.txt	         10029	             10029	          10020	                    10020	      70108	          70108	       70057	                 70057	                       312076	                           312076	                        311859	                                  311859	                      372083	                          372083	                       371824	                                 371824	
part_168.txt	         10003	             10003	          10001	                    10001	      90802	          90802	       90795	                 90795	                       360817	                           360817	                        360782	                                  360782	                      441503	                          441503	                       441463	                                 441463	
part_169.txt	         10029	             10029	          10021	                    10021	      74093	          74093	       74051	                 74051	                       304052	                           304052	                        303901	                                  303901	                      368049	                          368049	                       367864	                                 367864	
part_17.txt 	         10089	             10089	          10043	                    10043	      76716	          76716	       76507	                 76507	                       299747	                           299747	                        298951	                                  298951	                      366313	                          366313	                       365353	                                 365353	
part_170.txt	         10029	             10029	          10015	                    10015	      69778	          69778	       69714	                 69714	                       292013	                           292013	                        291749	                                  291749	                      351714	                          351714	                       351400	                                 351400	
part_171.txt	         10085	             10085	          10049	                    10049	      72016	          72016	       71844	                 71844	                       303365	                           303365	                        302630	                                  302630	                      365230	                          365230	                       364359	                                 364359	
part_172.txt	         10028	             10028	          10003	                    10003	      70157	          70157	       70017	                 70017	                       287985	                           287985	                        287449	                                  287449	                      347989	                          347989	                       347338	                                 347338	
part_173.txt	         10096	             10096	          10039	                    10039	      66747	          66747	       66553	                 66553	                       310618	                           310618	                        309830	                                  309830	                      367228	                          367228	                       366303	                                 366303	
part_174.txt	         10710	             10710	          10443	                    10443	      91020	          91020	       90216	                 90216	                       438707	                           438707	                        435188	                                  435188	                      518519	                          518519	                       514464	                                 514464	
part_175.txt	         10377	             10377	          10162	                    10162	      69783	          69783	       69111	                 69111	                       304238	                           304238	                        301391	                                  301391	                      363513	                          363513	                       360209	                                 360209	
part_176.txt	         10132	             10132	          10080	                    10080	      68118	          68118	       67842	                 67842	                       283047	                           283047	                        281897	                                  281897	                      340821	                          340821	                       339447	                                 339447	
part_177.txt	         10116	             10116	          10061	                    10061	      71270	          71270	       70989	                 70989	                       287558	                           287558	                        286475	                                  286475	                      348611	                          348611	                       347301	                                 347301	
part_178.txt	         10089	             10089	          10067	                    10067	      70227	          70227	       70129	                 70129	                       294678	                           294678	                        294300	                                  294300	                      354716	                          354716	                       354262	                                 354262	
part_179.txt	         10091	             10091	          10058	                    10058	      67815	          67815	       67672	                 67672	                       283998	                           283998	                        283398	                                  283398	                      341620	                          341620	                       340910	                                 340910	
part_18.txt 	         10119	             10119	          10079	                    10079	      72697	          72697	       72499	                 72499	                       292987	                           292987	                        292236	                                  292236	                      355489	                          355489	                       354580	                                 354580	
part_180.txt	         10112	             10112	          10001	                    10001	      55459	          55459	       54973	                 54973	                       259028	                           259028	                        256944	                                  256944	                      304340	                          304340	                       301881	                                 301881	
part_181.txt	         10332	             10332	          10191	                    10191	      69340	          69340	       68776	                 68776	                       306419	                           306419	                        304041	                                  304041	                      364664	                          364664	                       361867	                                 361867	
part_182.txt	         10250	             10250	          10040	                    10040	      68602	          68602	       67566	                 67566	                       273995	                           273995	                        269938	                                  269938	                      332300	                          332300	                       327417	                                 327417	
part_183.txt	         10244	             10244	          10126	                    10126	      72940	          72940	       72456	                 72456	                       302959	                           302959	                        300984	                                  300984	                      365594	                          365594	                       363253	                                 363253	
part_184.txt	         10368	             10368	          10092	                    10092	      71604	          71604	       70763	                 70763	                       328863	                           328863	                        324991	                                  324991	                      389136	                          389136	                       384708	                                 384708	
part_185.txt	         10362	             10362	          10297	                    10297	     109447	         109447	      108932	                108932	                       467469	                           467469	                        465371	                                  465371	                      566280	                          566280	                       563730	                                 563730	
part_186.txt	         10227	             10227	          10054	                    10054	      62995	          62995	       62290	                 62290	                       270954	                           270954	                        268055	                                  268055	                      323569	                          323569	                       320138	                                 320138	
